City_ID,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,rain,snow
253,,,,,,,,,,,,,,ihosy,-22.4,46.1167,19.61,51.0,3.0,4.24,MG,1722582434.0,,
254,"{'lon': 19.2345, 'lat': -34.4187}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 8.78, 'feels_like': 7.08, 'temp_min': 8.78, 'temp_max': 8.78, 'pressure': 1023, 'humidity': 79, 'sea_level': 1023, 'grnd_level': 1019}",10000.0,"{'speed': 2.95, 'deg': 341, 'gust': 3.4}",{'all': 69},1722582468.0,"{'type': 2, 'id': 2006131, 'country': 'ZA', 'sunrise': 1722576921, 'sunset': 1722614590}",7200.0,3366880.0,Hermanus,200.0,,,,,,,,,,,
255,,,,,,,,,,,,,,hermanus,-34.4187,19.2345,8.78,79.0,69.0,2.95,ZA,1722582468.0,,
256,"{'lon': -70.9167, 'lat': -53.15}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 3.06, 'feels_like': -1.41, 'temp_min': 2.84, 'temp_max': 3.06, 'pressure': 993, 'humidity': 93, 'sea_level': 993, 'grnd_level': 990}",10000.0,"{'speed': 5.66, 'deg': 110}",{'all': 100},1722581847.0,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1722601418, 'sunset': 1722633363}",-10800.0,3874787.0,Punta Arenas,200.0,,,,,,,,,,,
257,,,,,,,,,,,,,,punta arenas,-53.15,-70.9167,3.06,93.0,100.0,5.66,CL,1722581847.0,,
258,"{'lon': 1.4078, 'lat': 18.4411}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 30.16, 'feels_like': 31.98, 'temp_min': 30.16, 'temp_max': 30.16, 'pressure': 1010, 'humidity': 54, 'sea_level': 1010, 'grnd_level': 957}",10000.0,"{'speed': 6.11, 'deg': 208, 'gust': 7.6}",{'all': 90},1722582470.0,"{'country': 'ML', 'sunrise': 1722576750, 'sunset': 1722623317}",0.0,2455290.0,Kidal,200.0,,,,,,,,,,,
259,,,,,,,,,,,,,,kidal,18.4411,1.4078,30.16,54.0,90.0,6.11,ML,1722582470.0,,
260,"{'lon': -73.3579, 'lat': 41.1415}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 23.29, 'feels_like': 23.89, 'temp_min': 22.07, 'temp_max': 24.99, 'pressure': 1013, 'humidity': 85, 'sea_level': 1013, 'grnd_level': 1005}",10000.0,"{'speed': 0, 'deg': 0}",{'all': 0},1722582472.0,"{'type': 2, 'id': 2004726, 'country': 'US', 'sunrise': 1722592226, 'sunset': 1722643727}",-14400.0,4845585.0,Westport,200.0,,,,,,,,,,,
261,,,,,,,,,,,,,,westport,41.1415,-73.3579,24.99,85.0,0.0,0.0,US,1722582472.0,,
262,"{'lon': 12.4833, 'lat': 9.2}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 25.54, 'feels_like': 26.16, 'temp_min': 25.54, 'temp_max': 25.54, 'pressure': 1014, 'humidity': 77, 'sea_level': 1014, 'grnd_level': 992}",10000.0,"{'speed': 0.78, 'deg': 246, 'gust': 1.23}",{'all': 100},1722582474.0,"{'country': 'NG', 'sunrise': 1722574854, 'sunset': 1722619897}",3600.0,2318044.0,Yola,200.0,,,,,,,,,,,
263,,,,,,,,,,,,,,yola,9.2,12.4833,25.54,77.0,100.0,0.78,NG,1722582474.0,,
264,"{'lon': 70.9994, 'lat': 51.7006}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 30.8, 'feels_like': 29.62, 'temp_min': 30.8, 'temp_max': 30.8, 'pressure': 998, 'humidity': 31, 'sea_level': 998, 'grnd_level': 956}",10000.0,"{'speed': 7.31, 'deg': 200, 'gust': 8.8}",{'all': 100},1722582475.0,"{'country': 'KZ', 'sunrise': 1722555640, 'sunset': 1722611024}",18000.0,1519050.0,Shortandy,200.0,,,,,,,,,,,
265,,,,,,,,,,,,,,shortandy,51.7006,70.9994,30.8,31.0,100.0,7.31,KZ,1722582475.0,,
266,"{'lon': -97.5169, 'lat': 28.017}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 28.12, 'feels_like': 32.56, 'temp_min': 26.41, 'temp_max': 29.38, 'pressure': 1018, 'humidity': 81, 'sea_level': 1018, 'grnd_level': 1016}",10000.0,"{'speed': 2.95, 'deg': 144, 'gust': 5.84}",{'all': 100},1722582476.0,"{'type': 1, 'id': 3705, 'country': 'US', 'sunrise': 1722599604, 'sunset': 1722647944}",-18000.0,4726521.0,San Patricio,200.0,,,,,,,,,,,
267,,,,,,,,,,,,,,san patricio,28.017,-97.5169,29.38,81.0,100.0,2.95,US,1722582476.0,,
268,"{'lon': 96.3801, 'lat': 2.4803}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 30.31, 'feels_like': 35.29, 'temp_min': 30.31, 'temp_max': 30.31, 'pressure': 1009, 'humidity': 68, 'sea_level': 1009, 'grnd_level': 1004}",10000.0,"{'speed': 1.82, 'deg': 214, 'gust': 1.82}",{'all': 80},1722582477.0,"{'country': 'ID', 'sunrise': 1722555241, 'sunset': 1722599241}",25200.0,1213721.0,Sinabang,200.0,,,,,,,,,,,
269,,,,,,,,,,,,,,sinabang,2.4803,96.3801,30.31,68.0,80.0,1.82,ID,1722582477.0,,
270,"{'lon': 147.2712, 'lat': -2.0226}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 29.2, 'feels_like': 33.98, 'temp_min': 29.2, 'temp_max': 29.2, 'pressure': 1008, 'humidity': 74, 'sea_level': 1008, 'grnd_level': 1005}",10000.0,"{'speed': 3.97, 'deg': 136, 'gust': 4.68}",{'all': 100},1722582478.0,"{'country': 'PG', 'sunrise': 1722543374, 'sunset': 1722586681}",36000.0,2092164.0,Lorengau,200.0,,,,,,,,,,,
271,,,,,,,,,,,,,,lorengau,-2.0226,147.2712,29.2,74.0,100.0,3.97,PG,1722582478.0,,
272,"{'lon': -91.7667, 'lat': 14.9667}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 12.51, 'feels_like': 12.24, 'temp_min': 11.82, 'temp_max': 14.12, 'pressure': 1021, 'humidity': 93, 'sea_level': 1021, 'grnd_level': 778}",10000.0,"{'speed': 3.72, 'deg': 45, 'gust': 4.07}",{'all': 100},1722582479.0,"{'type': 2, 'id': 2035506, 'country': 'GT', 'sunrise': 1722599411, 'sunset': 1722645378}",-21600.0,3589626.0,San Pedro Sacatepéquez,200.0,,,,,,,,,,{'1h': 0.23},
273,,,,,,,,,,,,,,san pedro sacatepequez,14.9667,-91.7667,14.12,93.0,100.0,3.72,GT,1722582479.0,,
274,"{'lon': 26.8753, 'lat': -31.8976}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 13.56, 'feels_like': 12.59, 'temp_min': 13.56, 'temp_max': 13.56, 'pressure': 1020, 'humidity': 62, 'sea_level': 1020, 'grnd_level': 898}",10000.0,"{'speed': 3.89, 'deg': 278, 'gust': 7.6}",{'all': 4},1722582079.0,"{'country': 'ZA', 'sunrise': 1722574815, 'sunset': 1722613028}",7200.0,963516.0,Queenstown,200.0,,,,,,,,,,,
275,,,,,,,,,,,,,,queenstown,-31.8976,26.8753,13.56,62.0,4.0,3.89,ZA,1722582079.0,,
276,"{'lon': -68.6569, 'lat': -9.0656}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 23.9, 'feels_like': 23.89, 'temp_min': 23.9, 'temp_max': 23.9, 'pressure': 1012, 'humidity': 59, 'sea_level': 1012, 'grnd_level': 993}",10000.0,"{'speed': 1.09, 'deg': 332, 'gust': 2.01}",{'all': 44},1722582482.0,"{'country': 'BR', 'sunrise': 1722595733, 'sunset': 1722637964}",-18000.0,3662155.0,Sena Madureira,200.0,,,,,,,,,,,
277,,,,,,,,,,,,,,sena madureira,-9.0656,-68.6569,23.9,59.0,44.0,1.09,BR,1722582482.0,,
278,"{'lon': -9.7026, 'lat': 52.2704}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 16.59, 'feels_like': 16.65, 'temp_min': 16.59, 'temp_max': 16.59, 'pressure': 1007, 'humidity': 90, 'sea_level': 1007, 'grnd_level': 997}",10000.0,"{'speed': 2.88, 'deg': 190, 'gust': 8.38}",{'all': 98},1722582483.0,"{'country': 'IE', 'sunrise': 1722574897, 'sunset': 1722630502}",3600.0,2961123.0,Tralee,200.0,,,,,,,,,,,
279,,,,,,,,,,,,,,tralee,52.2704,-9.7026,16.59,90.0,98.0,2.88,IE,1722582483.0,,
280,"{'lon': -52.0986, 'lat': -32.035}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 14.97, 'feels_like': 14.85, 'temp_min': 14.97, 'temp_max': 14.97, 'pressure': 1016, 'humidity': 89, 'sea_level': 1016, 'grnd_level': 1016}",10000.0,"{'speed': 6.89, 'deg': 36, 'gust': 13.9}",{'all': 23},1722581959.0,"{'type': 2, 'id': 2020865, 'country': 'BR', 'sunrise': 1722593773, 'sunset': 1722631976}",-10800.0,3451138.0,Rio Grande,200.0,,,,,,,,,,,
281,,,,,,,,,,,,,,rio grande,-32.035,-52.0986,14.97,89.0,23.0,6.89,BR,1722581959.0,,
